Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
1499.04,175.76,11.25,-19.91
1502.52,175.69,11.25,-19.99
1505.99,175.61,11.25,-20.06
1509.39,175.53,11.25,-20.14
1512.6,175.46,11.25,-20.22
1518.32,175.33,11.25,-20.29
1523.76,175.2,11.25,-20.42
1529.53,175.06,11.25,-20.55
1535.45,175.07,11.25,-20.69
1541.3,175.19,11.26,-20.69
1547.16,175.31,11.38,-20.69
1550.18,175.37,11.5,-20.69
1553.26,175.44,11.56,-20.69
1556.39,175.5,11.63,-20.69
1559.57,175.57,11.69,-20.69
1562.71,175.63,11.76,-20.69
1565.97,175.69,11.82,-20.69
1569.26,175.76,11.88,-20.69
1572.55,175.83,11.95,-20.69
1575.75,175.9,12.02,-20.69
1578.85,175.96,12.09,-20.69
1581.86,176.02,12.15,-20.69
1587.83,176.15,12.21,-20.69
1593.68,176.27,12.34,-20.69
1599.03,176.38,12.46,-20.69
1604.46,176.5,12.57,-20.69
1610.36,176.62,12.69,-20.69
1616.29,176.75,12.81,-20.69
1621.94,176.87,12.94,-20.69
1627.51,176.98,13.06,-20.69
1633.01,177.01,13.17,-20.69
1638.43,177.03,13.2,-20.69
1643.92,177.06,13.22,-20.69
1649.24,177.11,13.25,-20.69
1654.55,177.19,13.3,-20.69
1660.08,177.29,13.38,-20.69
1665.79,177.42,13.48,-20.69
1671.63,177.57,13.61,-20.69
1677.32,177.73,13.76,-20.69
1682.8,177.9,13.92,-20.69
1688.38,178.07,14.09,-20.69
1694.27,178.22,14.26,-20.69
1697.29,178.29,14.41,-20.69
1700.31,178.36,14.48,-20.69
1703.37,178.44,14.55,-20.69
1706.39,178.53,14.63,-20.69
1709.43,178.62,14.72,-20.69
1712.49,178.73,14.81,-20.69
1715.57,178.86,14.92,-20.69
1718.73,179.01,15.05,-20.69
1721.96,179.17,15.2,-20.69
1725.22,179.29,15.36,-20.69
1728.51,179.34,15.48,-20.69
1731.76,179.37,15.53,-20.69
1734.98,179.4,15.56,-20.69
1738.16,179.42,15.59,-20.69
1741.41,179.42,15.61,-20.69
1744.73,179.42,15.61,-20.69
1748.14,179.42,15.61,-20.69
1751.57,179.43,15.61,-20.69
1754.98,179.46,15.62,-20.69
1758.28,179.5,15.65,-20.69
1761.46,179.55,15.69,-20.69
1764.47,179.58,15.74,-20.69
1770.27,179.55,15.77,-20.69
1776.11,179.51,15.77,-20.72
1779.14,179.49,15.77,-20.76
1782.21,179.47,15.77,-20.78
1785.3,179.45,15.77,-20.8
1788.36,179.42,15.77,-20.82
1794.29,179.38,15.77,-20.85
1800.07,179.32,15.77,-20.89
1803.19,179.29,15.77,-20.95
1808.71,179.25,15.77,-20.98
1814.34,179.21,15.77,-21.02
1819.96,179.15,15.77,-21.06
1825.47,179.01,15.77,-21.12
1830.75,178.87,15.77,-21.26
1835.97,178.74,15.77,-21.4
1841.21,178.6,15.77,-21.53
1846.48,178.45,15.77,-21.67
1851.79,178.29,15.77,-21.82
1857.26,178.13,15.77,-21.98
1862.84,177.98,15.77,-22.14
1868.47,177.83,15.77,-22.29
1874.18,177.68,15.77,-22.44
1880.19,177.53,15.77,-22.59
1883.24,177.46,15.77,-22.74
1886.3,177.38,15.77,-22.81
1892.28,177.24,15.77,-22.89
1895.3,177.16,15.77,-23.03
1898.39,177.09,15.77,-23.11
1901.53,177.01,15.77,-23.18
1904.73,176.92,15.77,-23.26
1907.98,176.84,15.77,-23.35
1911.25,176.75,15.77,-23.43
1914.47,176.72,15.77,-23.52
1917.7,176.76,15.77,-23.55
1924.03,176.83,15.81,-23.55
1927.16,176.87,15.88,-23.55
1930.24,176.91,15.92,-23.55
1936.09,176.98,15.96,-23.55
1941.39,177.05,16.03,-23.55
1946.36,177.11,16.1,-23.55
1951.52,177.17,16.16,-23.55
1957.05,177.23,16.22,-23.55
1962.97,177.3,16.28,-23.55
1966.25,177.33,16.35,-23.55
1969.56,177.37,16.38,-23.55
1972.84,177.4,16.42,-23.55
1976.06,177.44,16.45,-23.55
1979.2,177.48,16.49,-23.55
1982.32,177.52,16.53,-23.55
1985.38,177.56,16.57,-23.55
1991.31,177.66,16.61,-23.55
1996.93,177.76,16.71,-23.55
2002.46,177.82,16.81,-23.55
2008.19,177.78,16.87,-23.55
2014.32,177.6,16.87,-23.59
2019.85,177.28,16.87,-23.77
2025.81,176.89,16.87,-24.09
2028.95,176.68,16.87,-24.48
2032.16,176.47,16.87,-24.69
2035.39,176.25,16.87,-24.9
2038.56,176.02,16.87,-25.12
2041.72,175.79,16.87,-25.35
2044.83,175.55,16.87,-25.58
2050.65,175.1,16.87,-25.82
2055.84,175.0,16.87,-26.27
2060.93,175.0,16.87,-26.37
2066.2,175.0,16.87,-26.37
2071.69,175.0,16.87,-26.37
2077.18,175.0,16.87,-26.37
2081.53,175.0,16.87,-26.37
2084.56,175.0,16.87,-26.37
2133.98,179.05,16.87,-26.37
2138.45,179.55,20.92,-26.37
2142.5,179.99,21.42,-26.37
2147.25,180.51,21.86,-26.37
2152.55,181.09,22.38,-26.37
2158.14,181.68,22.96,-26.37
2163.1,182.2,23.55,-26.37
2167.03,182.58,24.07,-26.37
2170.31,182.48,24.45,-26.37
2173.41,182.4,24.45,-26.47
2176.94,182.31,24.45,-26.55
2181.49,182.21,24.45,-26.64
2186.67,182.1,24.45,-26.74
2192.1,181.99,24.45,-26.85
